Meconopsis horridula
Barleria integrisepala
Cystacanthus affinis
Dicliptera elegans
Justicia siccanea
Justicia xylopoda
Strobilanthes cyphantha
Strobilanthes kingdonii
Strobilanthes medogensis
Strobilanthes nemorosa
Actinidia grandiflora
Saurauia polyneura
Saurauia rubricalyx
Sinadoxa corydalifolia
Viburnum davidii
Archiatriplex nanpinensis
Baolia bracteata
Corispermum falcatum
Corispermum lepidocarpum
Corispermum lhasaense
Corispermum pseudofalcatum
Salsola chinghaiensis
Allium aciphyllum
Allium changduense
Allium chrysocephalum
Allium cyathophorum
Allium eusperma
Allium forrestii
Allium herderianum
Allium kingdonii
Allium maowenense
Allium nanodes
Allium pevtzovii
Allium rude
Allium siphonanthum
Allium songpanicum
Allium tanguticum
Allium xiangchengense
Allium xichuanense
Allium yuanum
Cotinus nana
Cotinus szechuanensis
Polyalthia chinensis
Acronema alpinum
Acronema astrantiifolium
Acronema brevipedicellatum
Acronema chienii
Acronema chinense
Acronema commutatum
Acronema forrestii
Acronema gracile
Acronema paniculatum
Acronema schneideri
Acronema sichuanense
Acronema xizangense
Acronema yadongense
Angelica apaensis
Angelica balangshanensis
Angelica duclouxii
Angelica kangdingensis
Angelica longipedicellata
Angelica nitida
Angelica paeoniifolia
Angelica pinnatiloba
Angelica scaberula
Angelica songpanensis
Arcuatopterus thalictrioideus
Bupleurum alatum
Bupleurum chaishoui
Bupleurum commelynoideum
Bupleurum condensatum
Bupleurum malconense
Bupleurum petiolulatum
Bupleurum qinghaiense
Bupleurum rockii
Bupleurum wenchuanense
Bupleurum yunnanense
Chaerophyllopsis huai
Chamaesium delavayi
Chamaesium paradoxum
Chamaesium thalictrifolium
Cortiella caespitosa
Cyclorhiza peucedanifolia
Cyclorhiza waltonii
Ferula hexiensis
Ferula kingdon-wardii
Ferula olivacea
Haplosphaera phaea
Harrysmithia heterophylla
Heracleum forrestii
Heracleum nyalamense
Heracleum oreocharis
Heracleum souliei
Heracleum stenopteroides
Heracleum stenopterum
Heracleum subtomentellum
Heracleum wenchuanense
Heracleum wolongense
Heracleum xiaojinense
Heracleum yungningense
Libanotis depressa
Ligusticum capillaceum
Ligusticum delavayi
Ligusticum franchetii
Ligusticum glaucifolium
Ligusticum gyirongense
Ligusticum hispidum
Ligusticum involucratum
Ligusticum likiangense
Ligusticum litangense
Ligusticum littledalei
Ligusticum multivittatum
Ligusticum nematophyllum
Ligusticum pteridophyllum
Ligusticum scapiforme
Ligusticum sikiangense
Nothosmyrnium xizangense
Notopterygium forrestii
Notopterygium pinnatiinvolucellum
Pachypleurum lhasanum
Pachypleurum muliense
Pachypleurum nyalamense
Pachypleurum xizangense
Peucedanum angelicoides
Peucedanum delavayi
Peucedanum franchetii
Peucedanum macilentum
Peucedanum nanum
Peucedanum songpanense
Peucedanum turgeniifolium
Peucedanum violaceum
Physospermopsis alepidioides
Physospermopsis cuneata
Physospermopsis muliensis
Pimpinella caudata
Pimpinella chungdienensis
Pimpinella filipedicellata
Pimpinella kingdon-wardii
Pimpinella rockii
Pimpinella rubescens
Pimpinella silvatica
Pimpinella xizangensis
Pleurospermum aromaticum
Pleurospermum astrantioideum
Pleurospermum bicolor
Pleurospermum calcareum
Pleurospermum decurrens
Pleurospermum foetens
Pleurospermum hedinii
Pleurospermum heracleifolium
Pleurospermum heterosciadium
Pleurospermum linearilobum
Pleurospermum longicarpum
Pleurospermum macrochlaenum
Pleurospermum nanum
Pleurospermum nubigenum
Pleurospermum pulszkyi
Pleurospermum szechenyii
Pleurospermum tsekuense
Pleurospermum wrightianum
Pternopetalum cardiocarpum
Pternopetalum delavayi
Pternopetalum trifoliatum
Sanicula rugulosa
Seseli purpureovaginatum
Seseli squarrulosum
Sinocarum dolichopodum
Sinocarum filicinum
Sinocarum pityophilum
Sinocarum vaginatum
Sinolimprichtia alpina
Sium frigidum
Tongoloa elata
Tongoloa pauciradiata
Tongoloa rockii
Tongoloa rubronervis
Tongoloa taeniophylla
Tongoloa tenuifolia
Trachydium involucellatum
Trachydium simplicifolium
Trachydium tibetanicum
Trachydium trifoliatum
Trachyspermum triradiatum
Biondia hemsleyana
Biondia longipes
Biondia pilosa
Biondia revoluta
Ceropegia muliensis
Ceropegia stenophylla
Ceropegia teniana
Cynanchum anthonyanum
Cynanchum batangense
Cynanchum linearisepalum
Cynanchum lysimachioides
Cynanchum szechuanense
Dregea yunnanensis
Hoya silvatica
Marsdenia medogensis
Marsdenia pulchella
Tylophora nana
Ilex dicarpa
Ilex gracilis
Ilex medogensis
Ilex micropyrena
Ilex miguensis
Ilex rockii
Ilex xizangensis
Arisaema aridum
Arisaema candidissimum
Arisaema ciliatum
Arisaema handelii
Arisaema parvum
Rhaphidophora dulongensis
Aralia apioides
Aralia caesia
Aralia tibetana
Brassaiopsis tibetana
Eleutherococcus baoxinensis
Eleutherococcus lasiogyne
Eleutherococcus verticillatus
Eleutherococcus xizangensis
Hydrocotyle salwinica
Schefflera wardii
Schefflera zhuana
Calamus acanthospathus
