拉丁名,纬度-Latitude,经度 - Longitude
Meconopsis horridula,27.79323,99.58532
Barleria integrisepala,27.92,101.27
Cystacanthus affinis,27.928607,101.279419
Dicliptera elegans,29.91,102.23
Justicia siccanea,26.56023,100.17643
Justicia xylopoda,25.584234,100.222124
Strobilanthes cyphantha,26.56023,100.17643
Strobilanthes kingdonii,29.32,95.33
Strobilanthes medogensis,30.0092,94.9669
Strobilanthes nemorosa,27.740736,98.66582
Actinidia grandiflora,28.67,104.01
Saurauia polyneura,35.86,104.2
Saurauia rubricalyx,29.32,95.33
Sinadoxa corydalifolia,32.2558,96.3258
Viburnum davidii,29.914155,102.234618
Archiatriplex nanpinensis,32.637983,103.59895
Baolia bracteata,30.58,82.43
Corispermum falcatum,28.91,89.6
Corispermum lepidocarpum,31.712092,88.118533
Corispermum lhasaense,29.65,91.12
Corispermum pseudofalcatum,29.27,88.88
Salsola chinghaiensis,38.13,93.29
Allium aciphyllum,31.93,102.1
Allium changduense,28.66,97.46
Allium chrysocephalum,34.403056,100.392778
Allium cyathophorum,34.65,100.62
Allium eusperma,28.7922,99.8372
Allium forrestii,31.87,99.12
Allium herderianum,33.176944,97.379444
Allium kingdonii,27.03,100.23
Allium maowenense,31.084,103.267
Allium nanodes,28.93,99.79
Allium pevtzovii,37.88,77.41
Allium rude,33.76,99.433889
Allium siphonanthum,27.83,99.7
Allium songpanicum,32.637983,103.59895
Allium tanguticum,34.683333,100.683333
Allium xiangchengense,30.05,101.97
Allium xichuanense,28.48611,98.911543
Allium yuanum,33.376944,100.29
Cotinus nana,24.976725,101.487417
Cotinus szechuanensis,32.089392,109.815677
Polyalthia chinensis,29.32,95.33
Acronema alpinum,29.15,92.58
Acronema astrantiifolium,28.93,99.79
Acronema brevipedicellatum,28.932073,99.79929
Acronema chienii,30.98,102.87
Acronema chinense,32.58333,103.83333
Acronema commutatum,35.86,104.2
Acronema forrestii,31.95,102.65
Acronema gracile,28.85,85.29
Acronema paniculatum,29.88,93.24
Acronema schneideri,24.25111,101.865
Acronema sichuanense,32.77,96.67
Acronema xizangense,29.03,93.9
Acronema yadongense,27.48,88.9
Angelica apaensis,26.088547,103.176727
Angelica balangshanensis,31.084,103.267
Angelica duclouxii,27.740736,98.66582
Angelica kangdingensis,30.055305,101.96483
Angelica longipedicellata,30.368117,102.81464
Angelica nitida,35.20256,102.521732
Angelica paeoniifolia,29.04,93.07
Angelica pinnatiloba,32.637983,103.59895
Angelica scaberula,26.56023,100.17643
Angelica songpanensis,32.637983,103.59895
Arcuatopterus thalictrioideus,29.914155,102.234618
Bupleurum alatum,28.17,85.98
Bupleurum chaishoui,29.000343,101.507299
Bupleurum commelynoideum,30.055305,101.96483
Bupleurum condensatum,36.52,100.77
Bupleurum malconense,33.06,107.03
Bupleurum petiolulatum,30.066708,102.758313
Bupleurum qinghaiense,35.391656,102.060263
Bupleurum rockii,30,94.9
Bupleurum wenchuanense,30.911944,102.546111
Bupleurum yunnanense,28.93,92.22
Chaerophyllopsis huai,28.66,97.46
Chamaesium delavayi,26.56023,100.17643
Chamaesium paradoxum,29.85,102.25
Chamaesium thalictrifolium,32.75,103.83333
Cortiella caespitosa,32.05,118.79
Cyclorhiza peucedanifolia,26.876096,100.229945
Cyclorhiza waltonii,26.11116,99.951049
Ferula hexiensis,38.83,99.62
Ferula kingdon-wardii,26.876096,100.229945
Ferula olivacea,28.8675,99.245833
Haplosphaera phaea,28.93,99.79
Harrysmithia heterophylla,36.519977,103.891767
Heracleum forrestii,29.037008,100.298406
Heracleum nyalamense,28.17,85.98
Heracleum oreocharis,35.86,104.2
Heracleum souliei,32.637983,103.59895
Heracleum stenopteroides,27.981944,98.470278
Heracleum stenopterum,27.92,101.27
Heracleum subtomentellum,26.876096,100.229945
Heracleum wenchuanense,31.084,103.267
Heracleum wolongense,31.084,103.267
Heracleum xiaojinense,30.99903,102.364372
Heracleum yungningense,26.876096,100.229945
Libanotis depressa,32.775621,96.67737
Ligusticum capillaceum,27.42,101.5
Ligusticum delavayi,29.14,92.59
Ligusticum franchetii,27.928607,101.279419
Ligusticum glaucifolium,36.519977,103.891767
Ligusticum gyirongense,28.85,85.29
Ligusticum hispidum,25.827253,100.575146
Ligusticum involucratum,26.901731,98.869207
Ligusticum likiangense,26.876096,100.229945
Ligusticum litangense,29.99605,100.269814
Ligusticum littledalei,30.32,90.58
Ligusticum multivittatum,27.177166,99.28717
Ligusticum nematophyllum,32.637983,103.59895
Ligusticum pteridophyllum,35.86,104.2
Ligusticum scapiforme,30.47,91.09
Ligusticum sikiangense,30.1469,101.86
Nothosmyrnium xizangense,29.7547,91.9375
Notopterygium forrestii,36.519977,103.891767
Notopterygium pinnatiinvolucellum,30.99903,102.364372
Pachypleurum lhasanum,29.99605,100.269814
Pachypleurum muliense,27.928607,101.279419
Pachypleurum nyalamense,27.2822,100.85195
Pachypleurum xizangense,30.29,81.17
Peucedanum angelicoides,29.16,107.1
Peucedanum delavayi,25.672222,100.1075
Peucedanum franchetii,26.876096,100.229945
Peucedanum macilentum,29.85,95.76
Peucedanum nanum,29.13,92.57
Peucedanum songpanense,32.637983,103.59895
Peucedanum turgeniifolium,32.15,97.045
Peucedanum violaceum,29.58,94.92
Physospermopsis alepidioides,27.928607,101.279419
Physospermopsis cuneata,23.880344,100.092756
Physospermopsis muliensis,27.207777,98.708885
Pimpinella caudata,32.080556,97.007222
Pimpinella chungdienensis,29.63,94.36
Pimpinella filipedicellata,31.1,121.3667
Pimpinella kingdon-wardii,35.86,104.2
Pimpinella rockii,25.020615,98.490007
Pimpinella rubescens,23.127041,113.341527
Pimpinella silvatica,27.82308,99.706013
Pimpinella xizangensis,28.42,92.47
Pleurospermum aromaticum,36.519977,103.891767
Pleurospermum astrantioideum,30.055305,101.96483
Pleurospermum bicolor,31.7061,102.314
Pleurospermum calcareum,28.7464,100.269
Pleurospermum decurrens,35.86,104.2
Pleurospermum foetens,28.5733,99.8117
Pleurospermum hedinii,35.0228,98.8606
Pleurospermum heracleifolium,29.63,94.36
Pleurospermum heterosciadium,27.82308,99.706013
Pleurospermum linearilobum,36.519977,103.891767
Pleurospermum longicarpum,27.928607,101.279419
Pleurospermum macrochlaenum,28.85,85.29
Pleurospermum nanum,29.6114,94.6542
Pleurospermum nubigenum,31.41,95.59
Pleurospermum pulszkyi,33.3769,100.29
Pleurospermum szechenyii,34.59,100.56
Pleurospermum tsekuense,34.3342,100.509
Pleurospermum wrightianum,28.36,87.76
Pternopetalum cardiocarpum,35.86,104.2
Pternopetalum delavayi,29.7692,95.6854
Pternopetalum trifoliatum,31.905842,102.206261
Sanicula rugulosa,29.85,95.76
Seseli purpureovaginatum,31.93,94.03
Seseli squarrulosum,36.63,101.2
Sinocarum dolichopodum,27.42,101.5
Sinocarum filicinum,28.932073,99.79929
Sinocarum pityophilum,36.519977,103.891767
Sinocarum vaginatum,28.93,99.79
Sinolimprichtia alpina,35.86,104.2
Sium frigidum,30,100.27
Tongoloa elata,32.68333,102.5
Tongoloa pauciradiata,30.368117,102.81464
Tongoloa rockii,27.382778,100.136111
Tongoloa rubronervis,27.928607,101.279419
Tongoloa taeniophylla,32.2808,96.4631
Tongoloa tenuifolia,31.49,98.21
Trachydium involucellatum,28.48611,98.911543
Trachydium simplicifolium,26.876096,100.229945
Trachydium tibetanicum,35.86,104.2
Trachydium trifoliatum,28.661276,97.466916
Trachyspermum triradiatum,31.899166,102.222451
Biondia hemsleyana,28.7672,99.87
Biondia longipes,27.93,101.28
Biondia pilosa,23.625319,105.630906
Biondia revoluta,32.95,104.68
Ceropegia muliensis,27.82308,99.706013
Ceropegia stenophylla,30.055305,101.96483
Ceropegia teniana,27.928607,101.279419
Cynanchum anthonyanum,27.3161,100.236
Cynanchum batangense,30,99.1
Cynanchum linearisepalum,27.92,101.27
Cynanchum lysimachioides,27.92,101.27
Cynanchum szechuanense,28.932073,99.79929
Dregea yunnanensis,28.795,99.8372
Hoya silvatica,29.32,95.33
Marsdenia medogensis,29.326875,95.328655
Marsdenia pulchella,28.17,104.52
Tylophora nana,32.637983,103.59895
Ilex dicarpa,29.32,95.33
Ilex gracilis,38.073254,104.69114
Ilex medogensis,29.3253,95.333197
Ilex micropyrena,27.740736,98.66582
Ilex miguensis,28.863,96.648
Ilex rockii,28.48611,98.911543
Ilex xizangensis,29.32483,95.326681
Arisaema aridum,35.86,104.2
Arisaema candidissimum,27.42,101.5
Arisaema ciliatum,27.129911,100.231216
Arisaema handelii,35.86,104.2
Arisaema parvum,30.06,102.75
Rhaphidophora dulongensis,35.86,104.2
Aralia apioides,35.86,104.2
Aralia caesia,27.82308,99.706013
Aralia tibetana,30.055305,101.96483
Brassaiopsis tibetana,24.7905,97.6755
Eleutherococcus baoxinensis,23.351747,113.411891
Eleutherococcus lasiogyne,30.1351,95.0181
Eleutherococcus verticillatus,29.63,94.36
Eleutherococcus xizangensis,28.66,97.46
Hydrocotyle salwinica,29.32,95.33
Schefflera wardii,30.0087,94.9578
Schefflera zhuana,29.32,95.33
Calamus acanthospathus,27.6903,98.280701
Trachycarpus princeps,35.86,104.2
Aristolochia delavayi,27.374855,100.371211
Aristolochia obliqua,35.86,104.2
Aristolochia zhongdianensis,29.1031,99.6319
Asparagus kansuensis,35.555814,106.046122
Asparagus munitus,27.2822,100.85195
Asparagus myriacanthus,28.661276,97.466916
Asparagus przewalskyi,40.492344,115.105519
Asparagus sichuanicus,31.13,97.18
Asparagus tibeticus,32.061655,102.990174
Asparagus yanyuanensis,27.42,101.5
Chlorophytum chinense,30,99.1
Liriope kansuensis,31.084,103.267
Maianthemum forrestii,27.603457,99.888737
Maianthemum gongshanense,25.9725,98.683611
Maianthemum lichiangense,28.9164,102.216
Maianthemum szechuanicum,30.843109,102.709563
Ophiopogon lushuiensis,35.86,104.2
Ophiopogon yunnanensis,35.86,104.2
Polygonatum curvistylum,26.876096,100.229945
Polygonatum hirtellum,29,101.5
Ainsliaea foliosa,28.48611,98.911543
Ainsliaea macrocephala,26.876096,100.229945
Ainsliaea mattfeldiana,29.037008,100.298406
Ainsliaea smithii,31.43,103.17
Ajania adenantha,25.584234,100.222124
Ajania brachyantha,28.67,87.12
Ajania elegantula,32.1431,97.2706
Ajania hypoleuca,32.943816,104.683378
Ajania nitida,30.055305,101.96483
Ajania purpurea,29.65,91.12
Ajania ramosa,32.3169,96.6267
Ajania tripinnatisecta,27.928607,101.279419
Ajania truncata,30.99,102.36
Ajaniopsis penicilliformis,29.68,89.09
Allardia lasiocarpa,33.38,79.73
Anaphalis acutifolia,28.85,85.29
Anaphalis batangensis,30,99.1
Anaphalis bicolor,32.9911,97.3481
Anaphalis chlamydophylla,27.25,100.17
Anaphalis chungtienensis,27.82308,99.706013
Anaphalis cinerascens,28.40369,99.449722
Anaphalis delavayi,35.86,104.2
Anaphalis elegans,29.914155,102.234618
Anaphalis gracilis,26.537043,99.905548
Anaphalis hymenolepis,32.26,100.97
Anaphalis lactea,38.78,101.08
Anaphalis larium,28.48611,98.911543
Anaphalis latialata,32.1028,97.0419
